阿爸	18137
阿昌族	50849
阿斗	42632
阿飞	48603
阿富汗	3461
阿訇	34432
阿拉伯数字	35937
阿拉伯语	30476
阿妈	16220
阿门	47913
阿Ｑ	20845
阿司匹林	40294
阿嚏	54643
阿姨	6842
啊	16090
啊呀	15418
啊哟	23908
啊	28693
啊	18287
啊	5514
啊	1175
哎	5497
哎呀	8456
哎哟	11815
哀告	36418
哀求	11984
哀兵必胜	53102
哀愁	25684
哀悼	8091
哀歌	40509
哀嚎	45194
哀号	29605
哀叫	35031
哀哭	41402
哀怜	35032
哀鸣	28081
哀戚	46661
哀泣	44322
哀伤	19763
哀思	23975
哀叹	26507
哀恸	46377
哀痛	27828
哀婉	32720
哀怨	23209
哀乐	20602
唉	7474
唉声叹气	24870
唉呀	25872
埃	6336
埃及	3121
挨	4736
挨边儿	53583
挨次	40951
挨个儿	42370
挨户	17735
挨肩儿	46979
挨近	26596
挨揍	36941
挨	4436
挨饿	16362
挨批	34907
挨整	37482
皑皑	28598
癌	10793
癌变	35321
癌细胞	19156
癌症	6730
癌肿	44071
嗳	9372
矮	5267
矮墩墩	53103
矮胖	27829
矮小	16293
矮子	22440
唉	4115
艾	9226
艾蒿	36593
艾窝窝	55566
艾滋病	3427
爱心	4350
爱	323
爱不释手	24929
爱财如命	54115
爱称	46662
爱答不理	52602
爱戴	11712
爱尔兰	6977
爱抚	19330
爱国	2338
爱国主义	3990
爱好	5492
爱河	36942
爱护	5862
爱将	34908
爱克斯光	55082
爱怜	23303
爱恋	22255
爱美	21216
爱面子	31481
爱莫能助	31595
爱慕	18550
爱女	29712
爱情	2005
爱人	5519
爱神	30357
爱屋及乌	47287
爱惜	14976
爱憎	24550
爱憎分明	33081
隘口	39452
碍	10576
碍口	54644
碍难	48993
碍事	24816
碍手碍脚	45495
碍眼	43825
暧昧	17148
安理会	4752
安谧	36770
安眠	32861
安分守己	30358
安眠药	21184
安康	12674
安民告示	45797
安宁	6724
安排	613
安	1651
安步当车	53104
安插	27587
安抵	45796
安定	4956
安度	27830
安顿	15085
安放	15202
安分	19045
安抚	16334
安好	36594
安徽	3002
安家	21467
安检	20603
安静	5113
安居	15923
安居工程	28340
安居乐业	10051
安乐	19724
安乐死	38044
安乐窝	37483
安乐椅	44323
安寝	44324
安全	709
安全带	19797
安全岛	48994
安全阀	48251
安全感	11863
安全帽	30135
安全门	42371
安全套	23630
安全系数	29177
安然	11659
安如磐石	55849
安如泰山	55083
安设	42847
安身	27022
安身立命	27259
安神	34572
安生	22441
安适	31376
安睡	28897
安泰	39037
安土重迁	53584
安危	10168
安慰	3875
安稳	14568
安息	18762
安闲	25466
安详	12330
安享	33609
安歇	38045
安心	4180
安养	54116
安逸	18491
安营	36943
安营扎寨	27510
安于	24930
安葬	17219
安之若素	43360
安置	2645
安装	3200
安培	22659
安贫乐道	46980
安琪儿	38213
桉树	32345
氨	11115
氨基酸	15442
氨气	41641
氨水	34573
庵	12110
庵堂	46088
谙练	55567
谙熟	36771
鹌鹑	29290
鞍马	26027
鞍马劳顿	48604
鞍前马后	44325
鞍子	38627
俺	2677
埯	51701
岸	4679
岸然	50468
按照	634
按脉	52135
按	279
按兵不动	27023
按部就班	25179
按键	32346
按揭	23054
按理	30787
按例	48995
按摩	10229
按捺	25943
按钮	18863
按期	12723
按时	5677
按说	19355
按图索骥	39235
按压	37125
按语	34909
案头	18138
案	1109
案板	28985
案牍	48605
案发	13946
案犯	20151
案件	1461
案卷	23156
案例	7184
案情	11301
案由	36095
案值	13209
案子	6523
暗藏	25244
暗娼	34574
暗场	55568
暗潮	49705
暗处	19837
暗淡	14340
暗补	53105
暗道	37484
暗	2609
暗地	10450
暗地里	17062
暗房	46981
暗访	14710
暗沟	50469
暗害	42848
暗含	37485
暗号	24620
暗合	38046
暗河	39453
暗盒	55569
暗红	32467
暗疾	55084
暗记	48252
暗箭	40723
暗礁	32206
暗扣儿	50072
暗里	25539
暗恋	37126
暗流	33724
暗绿	42123
暗泣	46982
暗器	48253
暗杀	11305
暗伤	51258
暗哨	54645
暗示	6515
暗室	38214
暗送秋波	50850
暗算	26799
暗锁	51702
暗探	41869
暗无天日	39864
暗喜	41403
暗线	54646
暗箱操作	17705
暗想	16118
暗笑	26308
暗语	39865
暗喻	45798
暗中	6274
暗转	55085
暗自	12063
暗暗	6258
暗堡	45195
黯然	17605
黯然神伤	35774
黯然失色	29817
肮脏	10361
昂	9175
昂贵	10673
昂然	19075
昂首	17992
昂首阔步	34433
昂扬	10466
盎然	15295
盎司	29384
凹	10293
凹版	52136
凹镜	55911
凹面	55086
凹凸	40724
凹陷	24551
熬	36595
敖	18265
敖包	41404
嗷嗷	29178
嗷嗷待哺	38628
獒	45196
遨游	20391
熬	4313
熬出头	47914
熬煎	29713
熬夜	27024
翱翔	20192
螯	32964
鏖战	19916
袄	12835
拗	9862
拗口	41171
傲然	23409
傲	9713
傲岸	46378
傲骨	35469
傲慢	13485
傲气	24871
傲世	54117
傲视	31596
奥援	50073
奥运会	2428
奥妙	17348
奥委会	14383
奥	6567
奥秘	11108
澳	3929
澳大利亚	3084
澳抗	53106
澳门	2475
澳洲	13402
懊悔	14668
懊恼	17125
懊丧	22085
鏊子	45197
八	355
八拜之交	54647
八宝饭	47288
八宝粥	48606
八辈子	42849
八成	16363
八方	18864
八哥	17501
八股	25944
八卦	21468
八卦掌	53107
八角	17681
八角帽	50851
八角形	47915
八路	18052
八路军	7778
八面玲珑	42850
八面威风	44602
八旗	18639
八仙	24416
八仙过海	34575
八仙桌	23631
八一	4464
八音盒	54648
八月节	45496
八字	13210
八字步	46663
八字胡	45799
八字脚	52603
八字眉	55087
八字形	54649
巴	1410
巴巴	43826
巴比伦	33215
巴不得	14770
巴豆	46089
巴儿狗	55088
巴基斯坦	3475
巴结	15138
巴黎	2625
巴山蜀水	47592
巴士	21941
巴望	25540
巴掌	8739
叭	10069
扒	16883
扒车	54650
扒拉	31482
扒皮	49706
吧	1938
吧嗒	34146
吧唧	47289
吧女	54118
吧台	24312
芭蕉	21890
芭蕉扇	35775
芭蕾	12210
芭蕾舞	14306
疤	12661
疤痕	22350
捌	27338
笆斗	53585
拔罐子	54651
拔腿	24105
拔	3784
拔步	47290
拔除	36419
拔刀相助	42633
拔地而起	16838
拔高	26177
拔河	25541
拔火罐	51703
拔尖	18232
拔脚	36772
拔节	28521
拔锚	53108
拔苗助长	37310
拔取	52604
拔丝	54119
拔营	36420
拔擢	46379
跋山涉水	30019
跋涉	12269
跋文	50074
跋	11823
跋扈	25118
把持	19612
把	22
把柄	20604
把舵	50075
把儿	20002
把风	51704
把关	8570
把家	49707
把角	54120
把酒	21095
把口儿	45800
把揽	52605
把牢	51705
把脉	28898
把门	14437
把尿	50470
把式	20392
把守	15895
把手	22771
把水搅浑	54121
把头	18551
把玩	27260
把握	1431
把戏	12124
把兄弟	38832
把盏	46664
把子	20298
靶	12683
靶场	26243
靶心	44072
靶子	24036
坝	5376
坝地	38629
坝基	53109
坝身	55089
坝址	29291
坝子	28160
爸	3326
爸爸	1575
罢	2581
罢工	10651
罢官	26244
罢教	53586
罢课	28694
罢了	4725
罢了	16119
罢免	9098
罢赛	40725
罢市	31707
罢手	27432
罢休	14938
罢演	47593
罢战	47917
鲅鱼	50852
霸业	41172
霸	7123
霸道	26723
霸道	19296
霸气	24931
霸权	14200
霸市	32207
霸王	17126
霸王鞭	48254
霸占	18948
霸主	20561
耙	36421
耙地	47916
掰	14591
掰开	28695
掰腕子	55090
白矾	53110
白色	3182
白汤	53111
白铜	38833
白血球	40297
白班	45497
白醋	52606
白	700
白皑皑	43118
白案	53587
